"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"3864","Trematomus lepidorhinus","fusiform / normal","bathydemersal",200,800,62.32,31,"of no interest",NA,0.5005
"3865","Trematomus loennbergii","fusiform / normal","bathydemersal",0,1191,61.12,30,"of no interest",NA,0.5005
"3866","Trematomus newnesi","fusiform / normal","demersal",0,400,30.49,20,"of no interest",NA,0.5005
"3867","Trematomus nicolai","fusiform / normal","demersal",1,420,64.82,36,"of no interest",NA,0.5005
"3868","Trematomus pennellii","fusiform / normal","demersal",0,732,63.11,24,"of no interest",NA,0.5005
"3869","Trematomus scotti","fusiform / normal","demersal",20,793,45.56,16,"of no interest",NA,0.5005
"3870","Trematomus tokarevi","fusiform / normal","bathydemersal",295,700,33.13,22.4,"of no interest",NA,0.5005
"3871","Artedidraco lonnbergi","elongated","bathydemersal",230,608,10,11,"of no interest","unknown",0.5156
"3872","Artedidraco mirus","elongated","demersal",18,320,10,12.5,NA,"unknown",0.5156
"3873","Artedidraco orianae","elongated","demersal",82,801,10,15.1,"of no interest","unknown",0.5156
"3874","Artedidraco shackletoni","elongated","demersal",56,460,10,14.6,"of no interest","unknown",0.5156
"3875","Artedidraco skottsbergi","elongated","demersal",5,666,10,10,NA,"unknown",0.5156
"3876","Dolloidraco longedorsalis","elongated","bathydemersal",203,1145,38.16,13.7,"of no interest","unknown",1
"3877","Histiodraco velifer","fusiform / normal","bathydemersal",210,667,10,19.2,"of no interest","unknown",1
"3878","Pogonophryne barsukovi","elongated","bathydemersal",195,1120,13.16,25,"of no interest","unknown",0.5
"3879","Pogonophryne lanceobarbata",NA,"bathydemersal",233,667,13.16,25,"of no interest","unknown",0.5
"3880","Pogonophryne marmorata","elongated","demersal",140,1405,19.48,21,"of no interest","unknown",0.5
"3881","Pogonophryne permitini","elongated","bathydemersal",430,1120,10.66,21,"of no interest","unknown",0.5
"3882","Pogonophryne scotti","elongated","bathydemersal",100,1180,21.98,31,"of no interest","unknown",0.5
"3883","Harpagifer spinosus","elongated","demersal",0,180,10,8,NA,"unknown",0.501
"3884","Akarotaxis nudiceps","elongated","bathydemersal",371,915,10,13,"of no interest","unknown",1
"3885","Bathydraco antarcticus","elongated","bathydemersal",340,2400,19.28,24,NA,"unknown",0.5313
"3886","Bathydraco joannae","elongated","bathydemersal",600,1800,14.4,20,"of no interest","unknown",0.5313
"3887","Bathydraco macrolepis","elongated","bathydemersal",450,2100,20.5,25,"of no interest","unknown",0.5313
"3888","Bathydraco marri","elongated","bathydemersal",300,1250,18.06,23,NA,"unknown",0.5313
"3889","Cygnodraco mawsoni","elongated","demersal",110,300,40.01,41,"of no interest","unknown",1
"3890","Gerlachea australis","elongated","bathydemersal",200,670,19.28,24,"of no interest","unknown",1
"3891","Gymnodraco acuticeps","elongated","demersal",0,550,31.48,34,"of no interest","unknown",1
"3892","Parachaenichthys charcoti","elongated","demersal",5,400,40.5,42,"of no interest","unknown",0.75
"3893","Parachaenichthys georgianus","elongated","demersal",5,270,47.05,59,NA,"unknown",0.75
"3894","Prionodraco evansii","elongated","demersal",70,550,10,15,"of no interest","unknown",1
"3895","Psilodraco breviceps","elongated","demersal",60,345,14.4,20,NA,"unknown",1
"3896","Racovitzia glacialis","elongated","bathydemersal",219,610,19.28,24,"of no interest","unknown",0.75
"3897","Vomeridens infuscipinnis","elongated","bathydemersal",500,813,16.84,22,"of no interest","unknown",1
"3898","Chionobathyscus dewitti","elongated","bathydemersal",500,2000,48.45,60,"of no interest",NA,1
"3899","Chionodraco hamatus","elongated","demersal",4,600,61.54,49,"of no interest",NA,0.625
"3900","Chionodraco myersi","elongated","bathydemersal",200,800,58.89,38,NA,"high",0.625
"3901","Cryodraco antarcticus","elongated","bathydemersal",90,600,44.08,39.3,"minor commercial","high",0.625
"3902","Dacodraco hunteri","elongated","bathydemersal",300,800,27.72,29,"of no interest",NA,1
"3903","Neopagetopsis ionah","elongated","benthopelagic",20,900,46.78,56,"of no interest",NA,1
"3904","Pagetopsis macropterus","fusiform / normal","demersal",5,655,30.66,33,"of no interest",NA,0.75
"3905","Pagetopsis maculatus","elongated","bathydemersal",200,800,24.93,25,"of no interest",NA,0.75
"3906","Icichthys australis","short and / or deep","pelagic-oceanic",0,2141,56.1,81,"of no interest",NA,0.75
"3907","Achiropsetta tricholepis","short and / or deep","demersal",21,1186,28.02,39,NA,"very high",1.0625
"3908","Mancopsetta maculata","short and / or deep","demersal",100,1115,35.65,50,NA,"very high",1.0625
"3909","Neoachiropsetta milfordi","short and / or deep","bathydemersal",100,1000,46.45,57,NA,"very high",1.0625
"3910","Muraenolepis microps","elongated","pelagic-oceanic",10,1600,47.32,35,"minor commercial","high",0.5059
"3911","Muraenolepis orangiensis","elongated","benthopelagic",135,860,16.95,30,"minor commercial","high",0.5059
"3912","Guttigadus kongi",NA,"bathydemersal",55,1500,36.06,15.3,"of no interest",NA,0.5078
"3913","Melanonus gracilis","elongated","bathypelagic",150,3613,12.81,18.7,"of no interest",NA,1
"3914","Coelorinchus fasciatus","elongated","bathydemersal",73,1086,54.74,50,"minor commercial","medium",0.5
"3915","Coelorinchus marinii","elongated","benthopelagic",200,600,44.96,38,NA,"medium",0.5
"3916","Coryphaenoides lecointei","elongated","bathydemersal",2154,3931,58.28,60,"of no interest",NA,0.5
"3917","Cynomacrurus piriei","elongated","bathypelagic",500,3800,54.74,50,"of no interest",NA,1
"3918","Macrourus carinatus","elongated","bathydemersal",200,1200,44.81,100,"commercial","low",0.5312
"3919","Macrourus holotrachys","elongated","bathydemersal",300,1400,63.38,80,"minor commercial","low",0.5312
"3920","Macrourus whitsoni","elongated","bathypelagic",400,3185,63.71,75,"commercial","low",0.5312
"3921","Echiodon cryomargarites","eel-like","bathydemersal",400,1441,33.57,41,"of no interest","unknown",0.5001
"3922","Ceratias tentaculatus","short and / or deep","bathydemersal",100,2900,48.43,NA,"of no interest","unknown",0.6875
"3923","Oneirodes notius",NA,"bathypelagic",700,2000,35.52,NA,"of no interest","unknown",0.5
"3924","Lampris immaculatus","short and / or deep","pelagic-oceanic",50,485,56.75,110,NA,"unknown",1
"3925","Melamphaes microps","fusiform / normal","bathypelagic",300,2516,50.35,9.6,"of no interest","unknown",0.5
"3926","Sio nordenskjoldii","fusiform / normal","bathypelagic",200,3000,56.48,12.3,"minor commercial","unknown",1
"3927","Gyrinomimus grahami","elongated","bathypelagic",445,2379,33.39,31,NA,"unknown",0.5312
"3928","Pseudocyttus maculatus","short and / or deep","bathydemersal",400,1500,71.6,68,"commercial","medium",1.001
"3929","Zanclorhynchus spinifer","fusiform / normal","demersal",5,400,29.35,40,"minor commercial","unknown",1.0039
"3930","Paraliparis meganchus",NA,"bathydemersal",220,1145,32.38,21.7,"of no interest","unknown",0.5
"3931","Paraliparis operculosus",NA,"bathydemersal",380,1010,22.76,13,NA,"unknown",0.5
"3932","Edentoliparis terraenovae",NA,"bathypelagic",0,550,12.47,7.1,"of no interest","unknown",1
"3933","Paraliparis thalassobathyalis",NA,"bathydemersal",620,1600,23.23,13.5,"of no interest","unknown",0.5
"3934","Coris picta","elongated","reef-associated",NA,NA,31.66,25,NA,"very high",0.5
"3935","Anomalops katoptron","fusiform / normal","reef-associated",2,400,18.57,35,"of no interest","unknown",1.002
"3936","Photoblepharon palpebratum","fusiform / normal","reef-associated",0,50,10,12,"of no interest","unknown",0.752
"3937","Dentatherina merceri","elongated","pelagic-neritic",NA,NA,10,5,"of no interest","unknown",1.5
"3938","Arothron manilensis","short and / or deep","reef-associated",2,20,25.1,31,NA,"very high",0.5
"3939","Arothron immaculatus","short and / or deep","reef-associated",3,30,24.86,30,"minor commercial","very high",0.5
"3940","Coryphaenoides filicauda","elongated","bathypelagic",2500,5000,46.13,40,NA,"medium",0.5
"3941","Siokunichthys herrei","eel-like","demersal",0,37,10,7.6,NA,"unknown",0.5156
"3942","Amblyeleotris steinitzi","elongated","reef-associated",2,43,30.38,13,NA,"very high",0.5
"3943","Amblyeleotris wheeleri","elongated","reef-associated",5,40,25.83,10,NA,"very high",0.5
"3944","Amblygobius decussatus","elongated","reef-associated",3,25,24.92,9.5,NA,"very high",0.5001
"3945","Amblygobius sphynx","fusiform / normal","reef-associated",1,20,29.78,18,"minor commercial","very high",0.5001
"3946","Asterropteryx semipunctata","elongated","reef-associated",1,20,14.21,6.5,NA,"very high",0.5039
"3947","Bathygobius fuscus","elongated","reef-associated",0,6,24.15,12,"minor commercial","very high",0.5
"3948","Bathygobius cocosensis","elongated","reef-associated",0,10,24.15,12,NA,"very high",0.5
"3949","Bryaninops amplus","elongated","reef-associated",1,30,12.47,4.6,NA,"very high",0.5
"3950","Bryaninops erythrops","elongated","reef-associated",1,10,10,2.3,NA,"very high",0.5
"3951","Bryaninops natans","elongated","reef-associated",7,27,10,2.5,NA,"very high",0.5
"3952","Callogobius maculipinnis","elongated","reef-associated",3,37,14.62,6.8,NA,"very high",0.5
"3953","Callogobius okinawae","fusiform / normal","reef-associated",0,12,13.37,5,NA,"very high",0.5
"3954","Cryptocentrus cinctus","elongated","reef-associated",1,25,25.83,10,NA,"very high",0.5
"3955","Cryptocentrus strigilliceps","elongated","reef-associated",0,15,24.15,12,NA,"very high",0.5
"3956","Ctenogobiops pomastictus","elongated","reef-associated",0,15,21.72,8,NA,"very high",0.502
"3957","Ctenogobiops tangaroai","elongated","reef-associated",4,40,13.37,6,NA,"very high",0.502
"3958","Discordipinna griessingeri","elongated","reef-associated",2,45,10,3,NA,"very high",0.75
"3959","Eviota bifasciata","elongated","reef-associated",1,15,10,3.5,NA,"very high",0.5
"3960","Fusigobius neophytus","fusiform / normal","reef-associated",0,25,16.21,7.5,NA,"very high",0.5005
"3961","Gobiodon histrio","short and / or deep","reef-associated",NA,NA,10,3.5,NA,"very high",0.5
"3962","Gobiodon okinawae","short and / or deep","reef-associated",NA,15,10,3.5,NA,"very high",0.5
"3963","Oplopomus oplopomus","fusiform / normal","reef-associated",1,30,25.83,10,NA,"very high",0.75
"3964","Paragobiodon echinocephalus","short and / or deep","reef-associated",NA,47,10,4,NA,"very high",0.5156
"3965","Paragobiodon xanthosoma","short and / or deep","reef-associated",NA,70,10,4,NA,"very high",0.5156
"3966","Priolepis cincta","fusiform / normal","reef-associated",1,70,16.55,7,NA,"very high",0.5
"3967","Trimma okinawae","fusiform / normal","reef-associated",8,35,10,3.5,NA,"very high",0.5
"3968","Trimma striatum","fusiform / normal","reef-associated",20,30,10,3,NA,"very high",0.5
"3969","Valenciennea helsdingenii","fusiform / normal","reef-associated",1,45,33.93,25,NA,"very high",0.5
"3970","Valenciennea longipinnis","elongated","reef-associated",2,30,35.81,18,"minor commercial","very high",0.5
"3971","Valenciennea muralis","fusiform / normal","reef-associated",1,15,33.6,16,NA,"very high",0.5
"3972","Valenciennea sexguttata","fusiform / normal","reef-associated",3,25,25.89,14,NA,"very high",0.5
"3973","Acentrogobius nebulosus","fusiform / normal","reef-associated",0,15,35.81,18,NA,"very high",0.5
"3974","Amblyeleotris fasciata","elongated","reef-associated",4,20,16.89,8,NA,"very high",0.5
"3975","Amblyeleotris fontanesii","elongated","reef-associated",5,30,42.23,25,NA,"very high",0.5
"3976","Amblyeleotris periophthalma","elongated","reef-associated",5,35,26.92,11,NA,"very high",0.5
"3977","Amblyeleotris randalli","elongated","reef-associated",NA,NA,28.7,12,NA,"very high",0.5
"3978","Cryptocentroides insignis","elongated","reef-associated",2,10,18.89,8.6,NA,"very high",0.625
"3979","Cryptocentrus octofasciatus","fusiform / normal","demersal",0,4,12.01,4.5,NA,"very high",0.5
"3980","Ctenogobiops aurocingulus","elongated","reef-associated",2,44,21.72,8,NA,"very high",0.502
"3981","Ctenogobiops feroculus","elongated","reef-associated",1,20,21.72,8,NA,"very high",0.502
"3982","Lotilia graciliosa","elongated","reef-associated",5,40,12.01,4.5,NA,"very high",0.75
"3983","Mahidolia mystacina","elongated","reef-associated",5,20,16.89,8,NA,"very high",1
"3984","Vanderhorstia ambanoro","elongated","reef-associated",1,30,24.91,13,NA,"very high",0.5
"3985","Koumansetta hectori","elongated","reef-associated",3,30,23.12,8.5,NA,"very high",0.75
"3986","Amblygobius nocturnus","fusiform / normal","reef-associated",1,30,25.83,10,NA,"very high",0.5001
"3987","Oplopomops diacanthus","fusiform / normal","reef-associated",3,20,20.6,7.5,NA,"very high",1
"3988","Signigobius biocellatus","fusiform / normal","reef-associated",1,30,25.83,10,"of no interest",NA,1
"3989","Valenciennea puellaris","fusiform / normal","reef-associated",2,84,37.28,20,NA,"very high",0.5
"3990","Asterropteryx ensifera","elongated","reef-associated",6,40,10,3,NA,"very high",0.5039
"3991","Austrolethops wardi","fusiform / normal","reef-associated",NA,NA,13.37,6,NA,"very high",1
"3992","Bathygobius cotticeps","elongated","reef-associated",0,6,23.03,11,NA,"very high",0.5
"3993","Bryaninops ridens","fusiform / normal","reef-associated",6,30,10,1.78,NA,"very high",0.5
"3994","Bryaninops yongei","elongated","reef-associated",3,45,10,3.5,NA,"very high",0.5
"3995","Cabillus tongarevae","elongated","reef-associated",0,9,10,2.7,NA,"very high",0.5156
"3996","Callogobius centrolepis","fusiform / normal","demersal",10,30,11.03,4,NA,"very high",0.5
"3997","Callogobius hasseltii","elongated","reef-associated",1,15,15.39,7.3,NA,"very high",0.5
"3998","Callogobius plumatus","elongated","reef-associated",5,6,10.53,3.9,NA,"very high",0.5
"3999","Callogobius sclateri","elongated","reef-associated",1,37,14.62,7,NA,"very high",0.5
"4000","Eviota afelei","elongated","reef-associated",0,3,10,1.8,NA,"very high",0.5
"4001","Eviota albolineata","elongated","reef-associated",0,3,10,3.6,NA,"very high",0.5
"4002","Eviota distigma","elongated","reef-associated",1,10,10,2,NA,"very high",0.5
"4003","Eviota fasciola","elongated","reef-associated",1,15,10,2.5,NA,"very high",0.5
"4004","Eviota herrei","elongated","reef-associated",0,6,10,1.4,NA,"very high",0.5
"4005","Eviota infulata","fusiform / normal","reef-associated",2,16,10,2.5,NA,"very high",0.5
"4006","Eviota lachdeberei","elongated","reef-associated",3,20,10,2.1,NA,"very high",0.5
"4007","Eviota latifasciata","elongated","reef-associated",NA,35,10,1.5,NA,"very high",0.5
"4008","Eviota melasma","elongated","reef-associated",NA,44,10,3,NA,"very high",0.5
"4009","Eviota nebulosa","elongated","reef-associated",0,18,10,1.9,NA,"very high",0.5
"4010","Eviota pellucida","fusiform / normal","reef-associated",3,30,10,2.12,NA,"very high",0.5
"4011","Eviota prasina","elongated","reef-associated",0,65,10,3.1,NA,"very high",0.5
"4012","Eviota queenslandica","elongated","reef-associated",NA,12,10,2.4,NA,"very high",0.5
"4013","Eviota saipanensis","fusiform / normal","reef-associated",NA,NA,10,2.6,NA,"very high",0.5
"4014","Eviota sebreei","elongated","reef-associated",0,40,10,2.5,NA,"very high",0.5
"4015","Eviota sigillata","elongated","reef-associated",3,20,10,3,NA,"very high",0.5
"4016","Harpagifer bispinis","elongated","demersal",40,50,10,7,"of no interest","unknown",0.501
"4017","Ateleopus japonicus","elongated","bathydemersal",140,600,55.13,95,"of no interest","unknown",0.5315
"4018","Bryaninops tigris","elongated","reef-associated",15,53,10,2.45,NA,"very high",0.5
"4019","Uropterygius concolor","eel-like","reef-associated",1,10,37.89,50,NA,"medium",0.5
"4020","Gymnothorax melatremus","eel-like","reef-associated",1,58,29.77,30,"of no interest",NA,0.5
"4021","Gymnothorax monochrous","eel-like","reef-associated",1,20,54.5,80,NA,"medium",0.5
"4022","Uropterygius fuscoguttatus","eel-like","reef-associated",5,25,29.77,30,NA,"medium",0.5
"4023","Uropterygius xanthopterus","eel-like","reef-associated",5,56,44.9,62,NA,"medium",0.5
"4024","Scolecenchelys gymnota","eel-like","reef-associated",NA,30,25.43,38,NA,"unknown",0.5
"4025","Scolecenchelys macroptera","eel-like","reef-associated",0,33,17.79,25,NA,"unknown",0.5
"4026","Muraenichthys schultzei","eel-like","reef-associated",1,19,16.91,24,"minor commercial","unknown",0.5156
"4027","Ophichthus cephalozona","eel-like","reef-associated",1,30,53.16,115,"of no interest","unknown",0.5
"4028","Synodus binotatus","elongated","reef-associated",1,88,13.37,18,"minor commercial","medium",0.5
